fiscal_year,ssa,person_orcid,first_name,middle_name,last_name,proposal_role,affiliation_uei,affiliation_name,factor1_assessment,factor2_assessment,factor3_assessment,factor4_assessment,person_overall_assessment,multiple_mitigation,mitigation_explanation_person,mitigation_strategy_proposal,mitigation_explanation_proposal,proposal_number,opportunity_number,proposal_title,submitting_entity_uei,submitting_entity_name,review_type,reviewing_component,reviewing_subcomponent,assessment_state,approved_date,review_notes,mitigation_status,award_type,award_state,fain,awarded_date,award_pop_start,award_pop_end,proposal_files,person_files,review_files
2024,SSA-solutions,6426-6062-5484-2188,Jane,,Wilson,PI,S16GSAX4CIDY,Globex Inc,No Mitigation Needed,Prohibited Factors,Mitigation Measures Required,Mitigation Measures Required,Mitigation Measures Required,,deployment integration deployment deployment synergy innovation research research innovation development analysis development development strategy.,Threat Briefs,,74636447,OPP-190127,Adaptive modular solution Project,S16GSAX4CIDY,Globex Inc,Initial,DTRA,DSO,Canceled,9/6/2021 17:22,,Complete,FAR-based Contract,In Negotiation,,4/17/2020 17:08,6/15/2024 10:02,,proposal_74636447.pdf,,
2024,SSA-innovation,9431-6654-7020-4261,Peter,,Wilson,PI,S16GSAX4CIDY,Globex Inc,Mitigation Measures Required,Prohibited Factors,Prohibited Factors,Prohibited Factors,No Mitigation Needed,Threat Briefs,solutions optimization strategy optimization analysis.,,,95096776,OPP-746796,Configurable value-added system engine Project,CZ5TQAGRDPFT,Tyrell Corp,Mitigation Annual Review,INSCOM,I2O,Draft,9/24/2024 9:35,,Not Needed,CRADA,In Negotiation,,,,,proposal_95096776.pdf,person_Wilson.pdf,
2024,SSA-innovation,9892-2316-2928-4644,John,,Wilson,Consultant,VWDUSH65P3UT,Wayne Enterprises,Prohibited Factors,Prohibited Factors,Prohibited Factors,Prohibited Factors,Mitigation Measures Required,,development integration strategy research synergy development deployment.,,,95096776,OPP-746796,Configurable value-added system engine Project,CZ5TQAGRDPFT,Tyrell Corp,Mitigation Annual Review,INSCOM,I2O,Draft,9/24/2024 9:35,,Not Needed,CRADA,In Negotiation,,,,,proposal_95096776.pdf,person_Wilson.pdf,
2023,SSA-integration,1990-7633-2513-1879,Mary,Susan,Williams,PI,CZ5TQAGRDPFT,Tyrell Corp,Mitigation Measures Required,Mitigation Measures Required,Mitigation Measures Required,No Mitigation Needed,No Mitigation Needed,Threat Briefs,solutions research optimization solutions optimization.,Threat Briefs,strategy synergy optimization integration analysis innovation research deployment solutions solutions analysis.,2444891,OPP-889569,Cloned scalable matrix Project,CZ5TQAGRDPFT,Tyrell Corp,Mitigation Annual Review,ACC,TTO,In Progress,4/9/2023 15:36,QFvvIXztijvKLxgbvUJDAmxgJDdTuuyltsoZclSYAbjIVeRPteuObzuSIXrujDWEPGrKdaFkaerPB FJNLeknShSYrKFpoBCShNpAJ MGAakIKwKrxidBeKqRjOgEnauhJk xMdyaBnXPIzWMvMYFqySOVtsXyeCH,Complete,CRADA,Awarded,FAIN6010698,,4/24/2024 13:49,,proposal_02444891.pdf,,
2024,SSA-development,4115-1143-6154-8317,Peter,Robert,Williams,Co-PI,VWDUSH65P3UT,Wayne Enterprises,Mitigation Measures Required,Mitigation Measures Required,Mitigation Measures Required,Mitigation Measures Required,Mitigation Measures Required,,solutions innovation research deployment solutions research deployment integration solutions synergy innovation integration synergy strategy solutions.,"Cessation, Increased Reporting",solutions analysis integration solutions synergy strategy development deployment synergy integration.,65893210,OPP-590529,Ameliorated didactic strategy Project,95C7CBF2RFOV,Acme Corp,Mitigation Annual Review,DARPA,DSO,Canceled,6/1/2021 21:49,,Complete,Grant,Awarded,FAIN4748829,,5/20/2023 22:02,4/21/2021 19:48,proposal_65893210.pdf,,review_65893210.docx
2024,SSA-development,6106-2475-7344-3226,Linda,,Taylor,Co-PI,EB3Q82NDH2ZA,MomCorp,Mitigation Measures Required,Mitigation Measures Required,No Mitigation Needed,Mitigation Measures Required,Mitigation Measures Required,Threat Briefs,development analysis analysis innovation integration integration integration optimization.,"Cessation, Increased Reporting",solutions analysis integration solutions synergy strategy development deployment synergy integration.,65893210,OPP-590529,Ameliorated didactic strategy Project,95C7CBF2RFOV,Acme Corp,Mitigation Annual Review,DARPA,DSO,Canceled,6/1/2021 21:49,,Complete,Grant,Awarded,FAIN4748829,,5/20/2023 22:02,4/21/2021 19:48,proposal_65893210.pdf,person_Taylor.pdf,review_65893210.docx
2024,SSA-development,1385-8950-3310-4586,David,,Moore,Collaborator,2GM2D03Z4F45,Omni Consumer Products,No Mitigation Needed,No Mitigation Needed,Prohibited Factors,Mitigation Measures Required,Mitigation Measures Required,"Cessation, Increased Reporting",analysis deployment integration innovation development research analysis synergy strategy research integration integration optimization.,"Cessation, Increased Reporting",solutions analysis integration solutions synergy strategy development deployment synergy integration.,65893210,OPP-590529,Ameliorated didactic strategy Project,95C7CBF2RFOV,Acme Corp,Mitigation Annual Review,DARPA,DSO,Canceled,6/1/2021 21:49,,Complete,Grant,Awarded,FAIN4748829,,5/20/2023 22:02,4/21/2021 19:48,proposal_65893210.pdf,,review_65893210.docx
2024,SSA-development,1946-3590-5529-1334,John,Mary,Taylor,Collaborator,1317BRU1K5HM,Blue Sun Corp,Mitigation Measures Required,Prohibited Factors,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,Threat Briefs,analysis optimization synergy integration innovation research optimization research deployment optimization optimization integration analysis research optimization.,"Cessation, Increased Reporting",solutions analysis integration solutions synergy strategy development deployment synergy integration.,65893210,OPP-590529,Ameliorated didactic strategy Project,95C7CBF2RFOV,Acme Corp,Mitigation Annual Review,DARPA,DSO,Canceled,6/1/2021 21:49,,Complete,Grant,Awarded,FAIN4748829,,5/20/2023 22:02,4/21/2021 19:48,proposal_65893210.pdf,,review_65893210.docx
2024,SSA-development,7029-7310-4137-1786,Robert,,Smith,Student,VWDUSH65P3UT,Wayne Enterprises,Mitigation Measures Required,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,Mitigation Measures Required,,development synergy integration research research optimization development.,"Cessation, Increased Reporting",solutions analysis integration solutions synergy strategy development deployment synergy integration.,65893210,OPP-590529,Ameliorated didactic strategy Project,95C7CBF2RFOV,Acme Corp,Mitigation Annual Review,DARPA,DSO,Canceled,6/1/2021 21:49,,Complete,Grant,Awarded,FAIN4748829,,5/20/2023 22:02,4/21/2021 19:48,proposal_65893210.pdf,person_Smith.pdf,review_65893210.docx
2025,SSA-optimization,5260-7018-8099-8748,Susan,Linda,Smith,Student,1317BRU1K5HM,Blue Sun Corp,Mitigation Measures Required,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,Threat Briefs,integration development research deployment optimization research deployment solutions.,Threat Briefs,development deployment integration development solutions innovation optimization innovation research analysis integration.,79854209,OPP-326387,Cloned scalable matrix Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,ACC,DSO,Draft,2/3/2023 4:21, qGtawhjjrZmoVyVqiSbSGaCKoQf njeHosuNZbJuwSnafzsXzJLwDZWmlRtbKXYttM ZZjNQNMOzlISHZSEeukqFLtEVHIPvytSCoSsQQgpPhQk,Not Needed,Other Transaction Authority,In Negotiation,,,9/11/2025 14:01,9/25/2024 16:25,proposal_79854209.pdf,person_Smith.pdf,
2025,SSA-optimization,6089-1576-5011-7603,Michael,,Miller,Student,S16GSAX4CIDY,Globex Inc,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,,solutions solutions research integration deployment strategy solutions synergy analysis synergy deployment.,Threat Briefs,development deployment integration development solutions innovation optimization innovation research analysis integration.,79854209,OPP-326387,Cloned scalable matrix Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,ACC,DSO,Draft,2/3/2023 4:21, qGtawhjjrZmoVyVqiSbSGaCKoQf njeHosuNZbJuwSnafzsXzJLwDZWmlRtbKXYttM ZZjNQNMOzlISHZSEeukqFLtEVHIPvytSCoSsQQgpPhQk,Not Needed,Other Transaction Authority,In Negotiation,,,9/11/2025 14:01,9/25/2024 16:25,proposal_79854209.pdf,person_Miller.pdf,
2025,SSA-optimization,5012-1650-2203-8432,David,,Smith,Consultant,1317BRU1K5HM,Blue Sun Corp,No Mitigation Needed,No Mitigation Needed,Mitigation Measures Required,Mitigation Measures Required,Prohibited Factors,,optimization research solutions strategy strategy solutions optimization synergy deployment deployment innovation optimization strategy development.,Threat Briefs,development deployment integration development solutions innovation optimization innovation research analysis integration.,79854209,OPP-326387,Cloned scalable matrix Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,ACC,DSO,Draft,2/3/2023 4:21, qGtawhjjrZmoVyVqiSbSGaCKoQf njeHosuNZbJuwSnafzsXzJLwDZWmlRtbKXYttM ZZjNQNMOzlISHZSEeukqFLtEVHIPvytSCoSsQQgpPhQk,Not Needed,Other Transaction Authority,In Negotiation,,,9/11/2025 14:01,9/25/2024 16:25,proposal_79854209.pdf,person_Smith.pdf,
2025,SSA-optimization,4139-2131-1680-6186,Susan,,Williams,Co-PI,95C7CBF2RFOV,Acme Corp,Mitigation Measures Required,Mitigation Measures Required,No Mitigation Needed,No Mitigation Needed,Prohibited Factors,,,Threat Briefs,development deployment integration development solutions innovation optimization innovation research analysis integration.,79854209,OPP-326387,Cloned scalable matrix Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,ACC,DSO,Draft,2/3/2023 4:21, qGtawhjjrZmoVyVqiSbSGaCKoQf njeHosuNZbJuwSnafzsXzJLwDZWmlRtbKXYttM ZZjNQNMOzlISHZSEeukqFLtEVHIPvytSCoSsQQgpPhQk,Not Needed,Other Transaction Authority,In Negotiation,,,9/11/2025 14:01,9/25/2024 16:25,proposal_79854209.pdf,person_Williams.pdf,
2025,SSA-optimization,7902-9517-3520-2799,Linda,Peter,Smith,Student,1317BRU1K5HM,Blue Sun Corp,Prohibited Factors,Prohibited Factors,No Mitigation Needed,No Mitigation Needed,No Mitigation Needed,"Cessation, Increased Reporting",analysis synergy research strategy solutions integration integration deployment optimization solutions research analysis.,Threat Briefs,development deployment integration development solutions innovation optimization innovation research analysis integration.,79854209,OPP-326387,Cloned scalable matrix Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,ACC,DSO,Draft,2/3/2023 4:21, qGtawhjjrZmoVyVqiSbSGaCKoQf njeHosuNZbJuwSnafzsXzJLwDZWmlRtbKXYttM ZZjNQNMOzlISHZSEeukqFLtEVHIPvytSCoSsQQgpPhQk,Not Needed,Other Transaction Authority,In Negotiation,,,9/11/2025 14:01,9/25/2024 16:25,proposal_79854209.pdf,person_Smith.pdf,
2024,SSA-optimization,4018-3350-8748-8348,Peter,Mary,Taylor,Co-PI,P0BJREZAN0YF,Stark Industries,No Mitigation Needed,Prohibited Factors,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,,development deployment optimization research integration.,"Cessation, Increased Reporting",,60215946,OPP-242031,Compatible demand-driven workforce Project,S16GSAX4CIDY,Globex Inc,Mitigation Annual Review,NGA,MSO,Draft,1/22/2025 20:26,ugojBHJSRgplweRDINdmbwIqCQObpvngxQAngLNYQZZRYOwSgxLndBtBIEEclzOZmJcwUqgQMPNHNgiyzQhaYDyaLtvZGnfyCNIQzdBpmqgUYFmgDSSmnSPZOYhRvIBiOeTQrcfXlgvtrXTZqLWJaWbmsDPyU XhlBvPnkhuuniXTQDuFMZjPmfsCDzbpAD Fg,Not Needed,Other Transaction Authority,Pending,,4/3/2025 12:53,6/12/2024 14:14,3/9/2023 16:27,proposal_60215946.pdf,person_Taylor.pdf,review_60215946.docx
2024,SSA-optimization,9586-4824-9787-8619,Linda,,Anderson,Collaborator,CZ5TQAGRDPFT,Tyrell Corp,Prohibited Factors,Mitigation Measures Required,Prohibited Factors,Mitigation Measures Required,No Mitigation Needed,"Cessation, Increased Reporting",,"Cessation, Increased Reporting",,60215946,OPP-242031,Compatible demand-driven workforce Project,S16GSAX4CIDY,Globex Inc,Mitigation Annual Review,NGA,MSO,Draft,1/22/2025 20:26,ugojBHJSRgplweRDINdmbwIqCQObpvngxQAngLNYQZZRYOwSgxLndBtBIEEclzOZmJcwUqgQMPNHNgiyzQhaYDyaLtvZGnfyCNIQzdBpmqgUYFmgDSSmnSPZOYhRvIBiOeTQrcfXlgvtrXTZqLWJaWbmsDPyU XhlBvPnkhuuniXTQDuFMZjPmfsCDzbpAD Fg,Not Needed,Other Transaction Authority,Pending,,4/3/2025 12:53,6/12/2024 14:14,3/9/2023 16:27,proposal_60215946.pdf,,review_60215946.docx
2024,SSA-innovation,7274-7939-3479-9584,John,David,Smith,Co-PI,EB3Q82NDH2ZA,MomCorp,Mitigation Measures Required,No Mitigation Needed,Mitigation Measures Required,Mitigation Measures Required,Prohibited Factors,"Cessation, Increased Reporting",analysis solutions development analysis deployment research strategy integration research analysis innovation solutions.,,,48822,OPP-327475,Automated bi-directional pricing structure Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,INSCOM,TTO,Draft,3/14/2021 12:07,,Complete,Other,Pending,,,,7/12/2023 16:36,proposal_00048822.pdf,,review_00048822.docx
2024,SSA-innovation,8305-6338-1273-4359,Jane,,Taylor,Co-PI,95C7CBF2RFOV,Acme Corp,Mitigation Measures Required,Prohibited Factors,No Mitigation Needed,Prohibited Factors,Prohibited Factors,Threat Briefs,synergy research deployment synergy innovation innovation integration.,,,48822,OPP-327475,Automated bi-directional pricing structure Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,INSCOM,TTO,Draft,3/14/2021 12:07,,Complete,Other,Pending,,,,7/12/2023 16:36,proposal_00048822.pdf,,review_00048822.docx
2024,SSA-innovation,4607-7811-9415-6646,Mary,,Davis,Student,8JK40Q30BVHV,Cyberdyne Systems,Prohibited Factors,Prohibited Factors,Mitigation Measures Required,No Mitigation Needed,Mitigation Measures Required,,analysis integration deployment strategy deployment development optimization deployment strategy integration.,,,48822,OPP-327475,Automated bi-directional pricing structure Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,INSCOM,TTO,Draft,3/14/2021 12:07,,Complete,Other,Pending,,,,7/12/2023 16:36,proposal_00048822.pdf,,review_00048822.docx
2024,SSA-innovation,5449-1918-8071-9289,John,Peter,Moore,Co-PI,P0BJREZAN0YF,Stark Industries,Mitigation Measures Required,Mitigation Measures Required,Mitigation Measures Required,No Mitigation Needed,Mitigation Measures Required,"Cessation, Increased Reporting",analysis deployment solutions solutions deployment integration integration innovation innovation solutions optimization integration integration innovation.,,,48822,OPP-327475,Automated bi-directional pricing structure Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,INSCOM,TTO,Draft,3/14/2021 12:07,,Complete,Other,Pending,,,,7/12/2023 16:36,proposal_00048822.pdf,person_Moore.pdf,review_00048822.docx
2023,SSA-synergy,4115-1143-6154-8317,Peter,,Williams,Collaborator,P0BJREZAN0YF,Stark Industries,Mitigation Measures Required,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,Prohibited Factors,,,"Cessation, Increased Reporting",deployment synergy strategy development integration solutions research research solutions integration solutions.,57980993,OPP-079682,Ameliorated didactic strategy Project,EB3Q82NDH2ZA,MomCorp,Mitigation Annual Review,USA,I2O,In Progress,10/9/2022 9:36,iByJURddcEVKYJLtUmBawtxSzsbERKBiWcYpijxOXBywEpLxyuCZXYOcSvldpBaAQeUQIXyVYFENtSYNaUvnPsxRV tbwtUBAjpVGwioZJeRSXZaeH IkBvddeWKqbGSYQXheELrko UHiFjzZfBgux,Not Needed,Other,Declined,,5/5/2021 15:46,,,proposal_57980993.pdf,person_Williams.pdf,
2023,SSA-innovation,4018-3350-8748-8348,Peter,Jane,Taylor,Consultant,P0BJREZAN0YF,Stark Industries,Prohibited Factors,Prohibited Factors,Prohibited Factors,Mitigation Measures Required,No Mitigation Needed,,development analysis synergy integration research strategy optimization research analysis research.,,,7036553,OPP-226106,Assimilated tangible parallelism Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,DARPA,CDMRP,Completed,10/28/2020 22:04,tVXISKVYGpJyyJiyBZtSvjNXzHpHwcXSaOIGUSjQjpzByCUPnvOzuzyKimtyZiaHlUMQNEbKcLgEQtCsOgeacgaPJMmjDMQ  KUlafJiUiiHUVqS,Not Needed,CRADA,Declined,,9/27/2022 10:42,2/8/2020 15:33,,proposal_07036553.pdf,,
2023,SSA-innovation,2086-8415-7667-4413,Peter,Peter,Anderson,Student,4K0AW4066EK0,Virtucon,No Mitigation Needed,Mitigation Measures Required,Mitigation Measures Required,No Mitigation Needed,Prohibited Factors,,integration deployment solutions development deployment solutions synergy innovation optimization innovation.,,,7036553,OPP-226106,Assimilated tangible parallelism Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,DARPA,CDMRP,Completed,10/28/2020 22:04,tVXISKVYGpJyyJiyBZtSvjNXzHpHwcXSaOIGUSjQjpzByCUPnvOzuzyKimtyZiaHlUMQNEbKcLgEQtCsOgeacgaPJMmjDMQ  KUlafJiUiiHUVqS,Not Needed,CRADA,Declined,,9/27/2022 10:42,2/8/2020 15:33,,proposal_07036553.pdf,,
2023,SSA-innovation,1821-4676-2980-7386,Patricia,,Moore,Collaborator,1317BRU1K5HM,Blue Sun Corp,No Mitigation Needed,Prohibited Factors,Mitigation Measures Required,Mitigation Measures Required,Mitigation Measures Required,"Cessation, Increased Reporting",integration synergy synergy synergy strategy innovation research deployment synergy synergy.,,,7036553,OPP-226106,Assimilated tangible parallelism Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,DARPA,CDMRP,Completed,10/28/2020 22:04,tVXISKVYGpJyyJiyBZtSvjNXzHpHwcXSaOIGUSjQjpzByCUPnvOzuzyKimtyZiaHlUMQNEbKcLgEQtCsOgeacgaPJMmjDMQ  KUlafJiUiiHUVqS,Not Needed,CRADA,Declined,,9/27/2022 10:42,2/8/2020 15:33,,proposal_07036553.pdf,person_Moore.pdf,
2023,SSA-innovation,7209-9708-3693-3439,Michael,,Moore,Co-PI,S16GSAX4CIDY,Globex Inc,No Mitigation Needed,Prohibited Factors,Mitigation Measures Required,No Mitigation Needed,Prohibited Factors,"Cessation, Increased Reporting",deployment analysis innovation integration synergy synergy solutions innovation innovation.,,,7036553,OPP-226106,Assimilated tangible parallelism Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,DARPA,CDMRP,Completed,10/28/2020 22:04,tVXISKVYGpJyyJiyBZtSvjNXzHpHwcXSaOIGUSjQjpzByCUPnvOzuzyKimtyZiaHlUMQNEbKcLgEQtCsOgeacgaPJMmjDMQ  KUlafJiUiiHUVqS,Not Needed,CRADA,Declined,,9/27/2022 10:42,2/8/2020 15:33,,proposal_07036553.pdf,,
2023,SSA-innovation,6066-9462-5085-9762,Jane,,Jones,Consultant,95C7CBF2RFOV,Acme Corp,Mitigation Measures Required,No Mitigation Needed,No Mitigation Needed,Mitigation Measures Required,Prohibited Factors,"Cessation, Increased Reporting",strategy solutions solutions deployment research innovation analysis optimization research analysis synergy.,,,7036553,OPP-226106,Assimilated tangible parallelism Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,DARPA,CDMRP,Completed,10/28/2020 22:04,tVXISKVYGpJyyJiyBZtSvjNXzHpHwcXSaOIGUSjQjpzByCUPnvOzuzyKimtyZiaHlUMQNEbKcLgEQtCsOgeacgaPJMmjDMQ  KUlafJiUiiHUVqS,Not Needed,CRADA,Declined,,9/27/2022 10:42,2/8/2020 15:33,,proposal_07036553.pdf,,
2023,SSA-research,6969-3078-2618-4315,Susan,,Moore,Collaborator,1317BRU1K5HM,Blue Sun Corp,Prohibited Factors,Mitigation Measures Required,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,,development strategy optimization research integration.,,,80809736,OPP-689852,Adaptive modular solution Project,95C7CBF2RFOV,Acme Corp,Mitigation Annual Review,USA,I2O,Canceled,10/11/2025 20:48,,Not Needed,CRADA,Awarded,FAIN7057255,,7/5/2022 1:21,6/26/2022 13:06,proposal_80809736.pdf,,review_80809736.docx
